"L124","GMR_20G01_AV_01-20150508_43_C4","54G12","20G01","1D,1E","1","No","Yes_TI_wk16","Yes-TI_wk5","Yes","Weak"
"L1040","GMR_41G09_AV_01-20150508_43_D5","22B12","41G09","1A","1","No","","","Yes","None"
"L803","GMR_25B07_AV_01-20150508_43_D1","84A06","25B07","12A,12B","1","No","Yes_TI_wk8","Yes-TI_wk6","Yes","Weak"
"L1107","GMR_41H07_AV_01-20150508_43_E3","49H05","41H07","27","1","Maybe","","","Yes","Medium"
"L1594","GMR_76G09_AV_01-20150515_41_A3","43D01","76G09","101","2","No","Yes_TI_wk16","Case4_Wk2","Yes","None"
"L1574","GMR_76G09_AV_01-20150515_41_A4","20G01","76G09","1D,1E","1","No","Yes_TI_wk8","","Yes","Weak"
"L412","GMR_54G12_AV_01-20150515_41_B6","22B12","54G12","1A","1","20X Paavo 2015","Yes_TI_wk8","Yes-TI_wk6","Yes","Medium"
"L1297","GMR_52H12_AV_01-20150515_41_C6","34C08","52H12","12A","1","No","Yes_TI_wk8","Yes-TI_wk6","Yes","Medium"
"L1302","GMR_52H12_AV_01-20150515_41_D3","20C12","52H12","12B","1","20X Shiuan-Tze 2015","Yes_TI_wk8","Yes-TI_wk1","In Progress (flycore)","Medium"
"L1296","GMR_52H12_AV_01-20150515_41_D1","28A10","52H12","","1","20X Shiuan-Tze 2015","Yes_TI_wk8","Yes-TI_wk6","Yes","Weak"
"L126","GMR_20G01_AV_01-20150522_44_A5","84F07","20G01","1E","1","Maybe","","Yes_TI_wk30","Yes","Medium"
"L1295","GMR_52H12_AV_01-20150515_41_D2","25B07","52H12","12A,12B","1","Maybe","Yes_TI_wk8","Yes-TI_wk6","Yes","None"
"L1667","GMR_85A07_AV_01-20150522_44_A3","59C09","85A07","70A","1","Yes","Yes_TI_wk10","Yes-TI_wk1","Yes","Medium"
"L1735","GMR_86A05_AV_01-20150522_44_A4","76C08","86A05","4A","1","20X Paavo 2015","Yes_TI-wk24","Case4_Wk1","Yes","None"
"L1129","GMR_44G08_AV_01-20150515_41_E6","14B11","44G08","7","1","20X_PaavoMike_July_2016","Yes_TI-wk21","Yes_TI_wk23","Yes","None"
"L1284","GMR_52H12_AV_01-20150522_44_B3","38F08","52H12","8A","1","20X Paavo 2015","Yes_TI_wk10","Yes-TI_wk1","Yes","Medium"
"L1385","GMR_54G12_AV_01-20150522_44_B2","76C08","54G12","1D","2","No","Yes_TI-wk24","Yes-TI_wk13","Yes","Medium"
"L1293","GMR_52H12_AV_01-20150515_41_D4","16C09","52H12","12A,12B","1","20X Shiuan-Tze 2015","Yes_TI-wk24","Yes-TI_flycore_18Apr-30May16","Yes","None"
"L489","JRC_SS03792-20150227_41_C2","50H07","66A08","70A,70B,11B,11C","1","No","Yes_TI_wk16","Case4_Wk2","Yes","Medium"
"L727","JRC_SS03794-20150227_41_D5","76C08","18B11","17","1","No","Yes_TI_wk8","","Yes","Strong"
"L509","JRC_SS03783-20150227_41_F2","13C04","79C09","27","1","20X Paavo 2015","","Yes-TI_wk6","Yes","Medium"
"L1117","GMR_41H09_AV_01-20150313_46_C2","48E02","41H09","7","2","No","Yes_TI_wk16","","Yes","Don't Care"
"L1473","GMR_65C07_AV_01-20150313_46_D6","42D01","65C07","4A","1","No","Yes_TI_wk4","Yes-TI_flycore_18Apr-30May16","Yes","Don't Care"
